Samples - Plot 0,Amplitude [V] - Plot 0
0,0.00204639
1,0.00255798
2,0.00230219
3,0.00179059
4,0.00115109
5,0.00115109
6,0.000895294
7,0.00102319
8,0.000639496
9,0
10,-0.000255798
11,-0.00140689
12,-0.000895294
13,-0.00140689
14,-0.00217429
15,-0.00319748
16,-0.00383697
17,-0.00434857
18,-0.00460437
19,-0.00460437
20,-0.00460437
21,-0.00486017
22,-0.00524387
23,-0.00549966
24,-0.00562756
25,-0.00498807
26,-0.00460437
27,-0.00345328
28,-0.00319748
29,-0.00306958
30,-0.00230219
31,-0.00179059
32,-0.000767395
33,-0.000383698
34,0.000255798
35,0.000639496
36,0.000511597
37,0.000767395
38,0.00127899
39,0.00179059
40,0.00204639
41,0.00294168
42,0.00306958
43,0.00332538
44,0.00294168
45,0.00255798
46,0.00281378
47,0.00268588
48,0.00204639
49,0.00115109
50,0.000127899
51,-0.000639496
52,-0.000639496
53,-0.00127899
54,-0.00140689
55,-0.00268588
56,-0.00319748
57,-0.00358118
58,-0.00434857
59,-0.00409277
60,-0.00460437
61,-0.00537177
62,-0.00537177
63,-0.00537177
64,-0.00537177
65,-0.00549966
66,-0.00486017
67,-0.00383697
68,-0.00358118
69,-0.00217429
70,-0.00102319
71,-0.000639496
72,0.000383698
73,0.00166269
74,0.00281378
75,0.00332538
76,0.00409277
77,0.00473227
78,0.00422067
79,0.00486017
80,0.00588336
81,0.00601126
82,0.00652286
83,0.00729025
84,0.00716235
85,0.00665076
86,0.00690656
87,0.00613916
88,0.00460437
89,0.00345328
90,0.00217429
91,0.000383698
92,-0.000895294
93,-0.00243008
94,-0.00422067
95,-0.00549966
96,-0.00741815
97,-0.00895294
98,-0.0109993
99,-0.0124062
100,-0.0125341
101,-0.0130457
102,-0.0134294
103,-0.0140689
104,-0.0144526
105,-0.0149642
106,-0.0149642
107,-0.0149642
108,-0.0140689
109,-0.0121504
110,-0.0108714
111,-0.00984824
112,-0.00856924
113,-0.00652286
114,-0.00473227
115,-0.00243008
116,-0.000127899
117,0.00243008
118,0.00549966
119,0.00805765
120,0.00997614
121,0.0120225
122,0.0136852
123,0.01522
124,0.0163711
125,0.0179059
126,0.0193128
127,0.0195686
128,0.0194407
129,0.0184175
130,0.0173943
131,0.0168827
132,0.0161153
133,0.0144526
134,0.0116388
135,0.00869714
136,0.00626706
137,0.00319748
138,0.000511597
139,-0.00255798
140,-0.00562756
141,-0.00869714
142,-0.0115109
143,-0.0141968
144,-0.0175222
145,-0.0198244
146,-0.0223824
147,-0.0248124
148,-0.0260914
149,-0.0267309
150,-0.0269867
151,-0.0271146
152,-0.0267309
153,-0.0251961
154,-0.0237892
155,-0.0219987
156,-0.0199523
157,-0.0173943
158,-0.0144526
159,-0.0108714
160,-0.00703445
161,-0.00332538
162,0.00115109
163,0.00511597
164,0.00920874
165,0.0133015
166,0.0170106
167,0.0205918
168,0.0237892
169,0.026603
170,0.0290331
171,0.03044
172,0.0319748
173,0.0323585
174,0.0318469
175,0.0312074
176,0.0299284
177,0.0282657
178,0.0259635
179,0.0231497
180,0.0196965
181,0.016499
182,0.0122783
183,0.00741815
184,0.00217429
185,-0.00319748
186,-0.00831345
187,-0.0140689
188,-0.0186733
189,-0.0234055
190,-0.027882
191,-0.0319748
192,-0.0360676
193,-0.0396487
194,-0.0419509
195,-0.0470669
196,-0.0470669
197,-0.0466832
198,-0.0454042
199,-0.0441252
200,-0.0416951
201,-0.0386255
202,-0.0349165
203,-0.0310795
204,-0.0258356
205,-0.0209755
206,-0.0145805
207,-0.00780185
208,-0.00115109
209,0.00537177
210,0.0116388
211,0.0170106
212,0.0231497
213,0.0294168
214,0.0349165
215,0.0402882
216,0.0446368
217,0.0477064
218,0.0506481
219,0.0516713
220,0.0523108
221,0.0524387
222,0.0524387
223,0.050776
224,0.0479622
225,0.043102
226,0.0383698
227,0.0327422
228,0.0269867
229,0.020336
230,0.0134294
231,0.00549966
232,-0.00217429
233,-0.00972034
234,-0.0173943
235,-0.0244287
236,-0.0315911
237,-0.0386255
238,-0.0455321
239,-0.0512876
240,-0.0561477
241,-0.0601126
242,-0.0630543
243,-0.0654844
244,-0.0665076
245,-0.0662518
246,-0.0654844
247,-0.0631822
248,-0.0592173
249,-0.0542292
250,-0.0483459
251,-0.0416951
252,-0.0344049
253,-0.0268588
254,-0.0180338
255,-0.00920874
256,0
257,0.00972034
258,0.0181617
259,0.0274983
260,0.0358118
261,0.0437415
262,0.0505202
263,0.0578104
264,0.0633101
265,0.0681703
266,0.0712398
267,0.0730304
268,0.0740536
269,0.0736699
270,0.0718793
271,0.0686819
272,0.0645891
273,0.0594731
274,0.0530782
275,0.0459158
276,0.0370908
277,0.0285215
278,0.0185454
279,0.00831345
280,-0.00255798
281,-0.0138131
282,-0.0244287
283,-0.0341491
284,-0.0442531
285,-0.0535898
286,-0.062159
287,-0.0695772
288,-0.0761
289,-0.0813439
290,-0.0847972
291,-0.0867156
292,-0.0879946
293,-0.0872272
294,-0.0847972
295,-0.0810881
