Samples - Plot 0,Amplitude [V] - Plot 0
0,-0.00115109
1,-0.000639496
2,-0.000895294
3,-0.000383698
4,0
5,0
6,-0.000639496
7,-0.000767395
8,-0.000639496
9,-0.00153479
10,-0.000767395
11,-0.000383698
12,-0.000895294
13,0.000255798
14,0.000895294
15,0.000255798
16,0.000127899
17,0.000127899
18,-0.000127899
19,-0.000767395
20,-0.000511597
21,0
22,0.000127899
23,0.000255798
24,0.000127899
25,0.000255798
26,-0.000511597
27,0.000255798
28,0.000511597
29,0.000255798
30,0.000383698
31,0.000767395
32,0.00115109
33,0.000767395
34,0.000767395
35,0.000639496
36,0.000255798
37,0.000511597
38,0.000639496
39,-0.000127899
40,0.000127899
41,0.000511597
42,0.000767395
43,0.000895294
44,0.000639496
45,-0.000127899
46,-0.000895294
47,-0.000639496
48,-0.000255798
49,-0.00102319
50,-0.00115109
51,-0.00153479
52,-0.00140689
53,-0.00115109
54,-0.00140689
55,-0.00166269
56,-0.00179059
57,-0.00179059
58,-0.00217429
59,-0.00191849
60,-0.00127899
61,-0.00127899
62,-0.000895294
63,-0.00102319
64,-0.00102319
65,-0.00127899
66,-0.000895294
67,-0.00115109
68,-0.00127899
69,-0.00140689
70,-0.000639496
71,0.000127899
72,0.000255798
73,-0.000127899
74,0.000383698
75,0.000639496
76,0.00102319
77,0.00140689
78,0.00102319
79,0.00179059
80,0.00179059
81,0.00153479
82,0.00115109
83,0.00115109
84,0.00153479
85,0.000895294
86,0.00115109
87,0.00102319
88,0.000511597
89,0.000511597
90,0.000127899
91,-0.000383698
92,-0.000895294
93,-0.00102319
94,-0.00115109
95,-0.00204639
96,-0.00319748
97,-0.00332538
98,-0.00345328
99,-0.00345328
100,-0.00383697
101,-0.00422067
102,-0.00460437
103,-0.00447647
104,-0.00486017
105,-0.00524387
106,-0.00473227
107,-0.00447647
108,-0.00447647
109,-0.00409277
110,-0.00383697
111,-0.00319748
112,-0.00217429
113,-0.00127899
114,-0.000383698
115,0.000511597
116,0.00153479
117,0.00191849
118,0.00243008
119,0.00370908
120,0.00486017
121,0.00575546
122,0.00626706
123,0.00652286
124,0.00639496
125,0.00652286
126,0.00767395
127,0.00729025
128,0.00690656
129,0.00690656
130,0.00652286
131,0.00601126
132,0.00511597
133,0.00434857
134,0.00294168
135,0.00191849
136,0.000767395
137,-0.000383698
138,-0.00179059
139,-0.00370908
140,-0.00434857
141,-0.00549966
142,-0.00703445
143,-0.00780185
144,-0.00920874
145,-0.0102319
146,-0.0111272
147,-0.0116388
148,-0.0122783
149,-0.0127899
150,-0.0127899
151,-0.0120225
152,-0.0116388
153,-0.0111272
154,-0.00997614
155,-0.00844134
156,-0.00639496
157,-0.00549966
158,-0.00434857
159,-0.00268588
160,-0.00115109
161,0.000895294
162,0.00255798
163,0.00383697
164,0.00549966
165,0.00754605
166,0.00933664
167,0.0111272
168,0.0129178
169,0.0141968
170,0.0150921
171,0.0159874
172,0.0143247
173,0.0141968
174,0.0154758
175,0.0148363
176,0.0171385
177,0.0166269
178,0.0153479
179,0.0134294
180,0.0109993
181,0.00844134
182,0.00588336
183,0.00281378
184,-0.000639496
185,-0.00409277
186,-0.00729025
187,-0.0103598
188,-0.0129178
189,-0.0154758
190,-0.0182896
191,-0.0205918
192,-0.0227661
193,-0.0243008
194,-0.0244287
195,-0.0254519
196,-0.025324
197,-0.0244287
198,-0.0232776
199,-0.0227661
200,-0.0211034
201,-0.0194407
202,-0.0176501
203,-0.0145805
204,-0.0108714
205,-0.00703445
206,-0.00358118
207,0.000767395
208,0.00460437
209,0.00844134
210,0.0118946
211,0.0156037
212,0.0176501
213,0.0202081
214,0.0235334
215,0.0258356
216,0.0272425
217,0.0287773
218,0.0299284
219,0.0296726
220,0.0299284
221,0.0289052
222,0.0268588
223,0.0254519
224,0.022894
225,0.0208476
226,0.0180338
227,0.0141968
228,0.00959244
229,0.00486017
230,0.000895294
231,-0.00345328
232,-0.00831345
233,-0.0130457
234,-0.0170106
235,-0.0211034
236,-0.0248124
237,-0.0282657
238,-0.0310795
239,-0.0335096
240,-0.0350444
241,-0.0369629
242,-0.0377303
243,-0.0376024
244,-0.0364513
245,-0.0351723
246,-0.0328701
247,-0.0296726
248,-0.0268588
249,-0.0236613
250,-0.0191849
251,-0.0147084
252,-0.0104877
253,-0.00498807
254,0.000383698
255,0.00601126
256,0.011383
257,0.0167548
258,0.0221266
259,0.0269867
260,0.0314632
261,0.0353002
262,0.0384976
263,0.0415672
264,0.0432299
265,0.0438694
266,0.044381
267,0.0434857
268,0.0425904
269,0.0411835
270,0.0391371
