-0.0333611,-0.029895,-0.0369716,-0.0280175,-0.0314836,-0.0303282,-0.034372,-0.0259956,-0.0349497,-0.0311948,-0.027151,-0.0378381,-0.0306171,-0.0303282,-0.0310504,-0.0274398,-0.0301838,-0.0333611,-0.034372,-0.0337943,-0.0262845,-0.0192079,-0.0350941,-0.0255624,-0.0196412,-0.0267177,-0.0333611,-0.0268622,-0.0246959,-0.0400044,-0.0350941,-0.0342276,-0.0322057,-0.0363939,-0.0280175,-0.0337943,-0.0348053,-0.0280175,-0.0349497,-0.0340832
-0.0339388,-0.0294617,-0.0356718,-0.0277287,-0.0311948,-0.0296061,-0.0329278,-0.025418,-0.0332167,-0.0314836,-0.0270066,-0.0365383,-0.0304727,-0.0301838,-0.0309059,-0.0275843,-0.0296061,-0.031628,-0.0330722,-0.0330722,-0.0268622,-0.0197856,-0.0348053,-0.0259956,-0.0197856,-0.0272954,-0.032639,-0.0277287,-0.0252735,-0.0401488,-0.0345164,-0.0335055,-0.0324946,-0.035383,-0.0281619,-0.0335055,-0.0348053,-0.0281619,-0.0348053,-0.0340832
-0.0333611,-0.028884,-0.0342276,-0.0283064,-0.0304727,-0.028884,-0.0310504,-0.0255624,-0.031628,-0.0303282,-0.0265733,-0.0346609,-0.0304727,-0.0293173,-0.0306171,-0.0275843,-0.0293173,-0.0294617,-0.0306171,-0.0322057,-0.0275843,-0.0209409,-0.0339388,-0.0261401,-0.0203633,-0.0274398,-0.0322057,-0.0275843,-0.0259956,-0.0397156,-0.0339388,-0.0329278,-0.0313392,-0.0337943,-0.0283064,-0.0329278,-0.0348053,-0.0285952,-0.0337943,-0.0337943
-0.0323501,-0.0281619,-0.0320613,-0.0274398,-0.0303282,-0.0278731,-0.0291729,-0.0248403,-0.0294617,-0.0300394,-0.0267177,-0.0323501,-0.028884,-0.0290285,-0.0294617,-0.0268622,-0.028884,-0.0277287,-0.0291729,-0.031628,-0.0277287,-0.0210854,-0.032639,-0.0262845,-0.0203633,-0.0274398,-0.0313392,-0.0275843,-0.0261401,-0.0385602,-0.0324946,-0.0323501,-0.0303282,-0.0323501,-0.0285952,-0.0320613,-0.0333611,-0.0281619,-0.032639,-0.0322057
-0.0309059,-0.0270066,-0.0294617,-0.0264289,-0.0290285,-0.0265733,-0.0270066,-0.0241182,-0.0277287,-0.0296061,-0.0252735,-0.0303282,-0.0278731,-0.027151,-0.0283064,-0.0265733,-0.0281619,-0.0264289,-0.0268622,-0.0309059,-0.0278731,-0.0219519,-0.0311948,-0.0264289,-0.0210854,-0.0274398,-0.0296061,-0.0275843,-0.0255624,-0.0368272,-0.0309059,-0.0306171,-0.0285952,-0.0311948,-0.0277287,-0.0307615,-0.032639,-0.0278731,-0.0320613,-0.0301838
-0.0304727,-0.0261401,-0.0268622,-0.025418,-0.0277287,-0.0252735,-0.0248403,-0.0232517,-0.0249847,-0.0277287,-0.0239738,-0.0277287,-0.027151,-0.0251291,-0.0275843,-0.0255624,-0.0272954,-0.0242626,-0.0249847,-0.0293173,-0.0262845,-0.0223851,-0.0291729,-0.0259956,-0.0213742,-0.0272954,-0.0277287,-0.0272954,-0.0257068,-0.0352385,-0.028884,-0.028884,-0.0264289,-0.0293173,-0.0265733,-0.0293173,-0.031628,-0.0272954,-0.0306171,-0.0283064
-0.0294617,-0.0251291,-0.0236849,-0.0239738,-0.0267177,-0.0232517,-0.0215186,-0.0218075,-0.0220963,-0.0264289,-0.0228184,-0.0245514,-0.0255624,-0.0238293,-0.0258512,-0.0236849,-0.0251291,-0.0218075,-0.0220963,-0.0272954,-0.0259956,-0.0218075,-0.027151,-0.0248403,-0.0212298,-0.0262845,-0.0255624,-0.0270066,-0.0246959,-0.0332167,-0.0262845,-0.0277287,-0.0248403,-0.0272954,-0.0258512,-0.0272954,-0.029895,-0.0261401,-0.0281619,-0.0264289
-0.0277287,-0.0239738,-0.0207965,-0.0218075,-0.024407,-0.0213742,-0.0187746,-0.0205077,-0.0189191,-0.0239738,-0.0207965,-0.021663,-0.0239738,-0.0212298,-0.024407,-0.0223851,-0.0233961,-0.0192079,-0.0190635,-0.0255624,-0.025418,-0.0220963,-0.0257068,-0.024407,-0.0220963,-0.0255624,-0.0220963,-0.0261401,-0.0242626,-0.0300394,-0.0232517,-0.0248403,-0.0232517,-0.0251291,-0.0246959,-0.0251291,-0.0275843,-0.0251291,-0.0255624,-0.0242626
-0.0262845,-0.0218075,-0.0184858,-0.0193523,-0.0222407,-0.0189191,-0.0153085,-0.0190635,-0.0160306,-0.0219519,-0.0189191,-0.0192079,-0.0222407,-0.0194967,-0.0225296,-0.0203633,-0.0218075,-0.0166083,-0.0170416,-0.0241182,-0.024407,-0.0222407,-0.0236849,-0.0231072,-0.0212298,-0.0245514,-0.0190635,-0.025418,-0.0235405,-0.0272954,-0.0206521,-0.021663,-0.0219519,-0.0220963,-0.0248403,-0.0229628,-0.0257068,-0.024407,-0.0231072,-0.0225296
-0.0245514,-0.01993,-0.0166083,-0.0177637,-0.0205077,-0.0179081,-0.012709,-0.0174748,-0.0137199,-0.0202188,-0.0167527,-0.0161751,-0.0200744,-0.0177637,-0.0206521,-0.0177637,-0.0203633,-0.0138643,-0.0145864,-0.0218075,-0.0231072,-0.021663,-0.0215186,-0.0219519,-0.0206521,-0.0236849,-0.0168972,-0.0242626,-0.0219519,-0.0245514,-0.0189191,-0.0193523,-0.0200744,-0.0190635,-0.0233961,-0.0205077,-0.0231072,-0.0233961,-0.0212298,-0.0207965
