Samples - Plot 0,Amplitude [V] - Plot 0
0,-0.00997614
1,-0.010104
2,-0.00959244
3,-0.00882504
4,-0.00831345
5,-0.00818555
6,-0.00831345
7,-0.00831345
8,-0.00767395
9,-0.00729025
10,-0.00703445
11,-0.00716235
12,-0.00613916
13,-0.00575546
14,-0.00498807
15,-0.00460437
16,-0.00422067
17,-0.00306958
18,-0.00319748
19,-0.00332538
20,-0.00319748
21,-0.00217429
22,-0.00115109
23,-0.000511597
24,-0.000127899
25,0
26,0.000383698
27,0.000255798
28,0.000383698
29,0.000255798
30,0.000127899
31,0.000511597
32,0.000511597
33,0.000383698
34,0.000639496
35,0.000127899
36,-0.00127899
37,-0.00230219
38,-0.00281378
39,-0.00358118
40,-0.00434857
41,-0.00588336
42,-0.00639496
43,-0.00729025
44,-0.00831345
45,-0.00882504
46,-0.00946454
47,-0.0111272
48,-0.0127899
49,-0.0134294
50,-0.0140689
51,-0.0141968
52,-0.0140689
53,-0.0140689
54,-0.013941
55,-0.013941
56,-0.0130457
57,-0.0121504
58,-0.0108714
59,-0.00933664
60,-0.00831345
61,-0.00690656
62,-0.00562756
63,-0.00370908
64,-0.00153479
65,-0.000639496
66,0.000895294
67,0.00217429
68,0.00345328
69,0.00460437
70,0.00562756
71,0.00677866
72,0.00780185
73,0.00882504
74,0.00920874
75,0.00844134
76,0.00792975
77,0.00716235
78,0.00665076
79,0.00575546
80,0.00422067
81,0.00306958
82,0.00153479
83,0
84,-0.00140689
85,-0.00268588
86,-0.00447647
87,-0.00601126
88,-0.00882504
89,-0.0112551
90,-0.0133015
91,-0.01522
92,-0.0161153
93,-0.0175222
94,-0.0185454
95,-0.0194407
96,-0.0200802
97,-0.0207197
98,-0.0211034
99,-0.0217429
100,-0.021615
101,-0.0199523
102,-0.0181617
103,-0.0173943
104,-0.0163711
105,-0.0144526
106,-0.0127899
107,-0.011383
108,-0.00933664
109,-0.00767395
110,-0.00524387
111,-0.00345328
112,-0.00140689
113,0.00115109
114,0.00306958
115,0.00486017
116,0.00665076
117,0.00831345
118,0.00959244
119,0.0107435
120,0.0116388
121,0.012662
122,0.012662
123,0.0129178
124,0.012662
125,0.0116388
126,0.0104877
127,0.00972034
128,0.00869714
129,0.00716235
130,0.00524387
131,0.00306958
132,0.00127899
133,-0.000767395
134,-0.00268588
135,-0.00511597
136,-0.00780185
137,-0.00972034
138,-0.0124062
139,-0.0145805
140,-0.0168827
141,-0.0186733
142,-0.020336
143,-0.0221266
144,-0.0234055
145,-0.0251961
146,-0.0268588
147,-0.0271146
148,-0.026603
149,-0.0260914
150,-0.0255798
151,-0.025324
152,-0.0243008
153,-0.0230219
154,-0.0208476
155,-0.0188012
156,-0.0168827
157,-0.0147084
158,-0.0118946
159,-0.00869714
160,-0.00549966
161,-0.00268588
162,0.000767395
163,0.00409277
164,0.00741815
165,0.0106156
166,0.0138131
167,0.0168827
168,0.0198244
169,0.0213592
170,0.0235334
171,0.0241729
172,0.0244287
173,0.0246845
174,0.0243008
175,0.0237892
176,0.0230219
177,0.0214871
178,0.0193128
179,0.0163711
180,0.0131736
181,0.00869714
182,0.00486017
183,0.00115109
184,-0.00396487
185,-0.00908084
186,-0.0135573
187,-0.0189291
188,-0.0234055
189,-0.0272425
190,-0.0312074
191,-0.0350444
192,-0.0383698
193,-0.0407998
194,-0.0427183
195,-0.044381
196,-0.0427183
197,-0.0429741
198,-0.0486017
199,-0.0580662
200,-0.0539735
201,-0.0503923
202,-0.0447647
203,-0.0388813
204,-0.0321027
205,-0.0248124
206,-0.0181617
207,-0.0104877
208,-0.00332538
209,0.00409277
210,0.0118946
211,0.0193128
212,0.0263472
213,0.0331259
214,0.039265
215,0.0445089
216,0.048218
217,0.0510318
218,0.0537177
219,0.0553803
220,0.0560198
221,0.0552524
222,0.0530782
223,0.0498807
224,0.0459158
225,0.0409277
226,0.0349165
227,0.0282657
228,0.0204639
229,0.0125341
230,0.00358118
231,-0.00562756
232,-0.0140689
233,-0.0234055
234,-0.0321027
235,-0.0406719
236,-0.0487296
237,-0.0558919
238,-0.0626706
239,-0.0680424
240,-0.0725188
241,-0.0757163
242,-0.0777627
243,-0.0780185
244,-0.077379
245,-0.0754605
246,-0.0727746
247,-0.0681703
248,-0.0626706
249,-0.0566593
250,-0.0487296
251,-0.0395208
252,-0.0299284
253,-0.0196965
254,-0.00908084
255,0.00191849
256,0.0121504
257,0.0236613
258,0.0340212
259,0.0437415
260,0.0525666
261,0.0607521
262,0.0676587
263,0.0732862
264,0.0778906
265,0.0883783
266,0.0869714
267,0.0851808
268,0.0827508
269,0.0792975
270,0.074821
271,0.0691935
272,0.062159
273,0.0538456
274,0.044381
275,0.0344049
276,0.0231497
277,0.0112551
278,-0.00102319
279,-0.0131736
280,-0.0250682
281,-0.0367071
282,-0.0486017
283,-0.0671471
284,-0.0740536
285,-0.081216
286,-0.087483
287,-0.0928548
288,-0.097715
289,-0.101296
290,-0.103598
291,-0.10411
292,-0.102319
293,-0.0996335
294,-0.0945175
295,-0.0877388
296,-0.0803207
297,-0.0716235
298,-0.0607521
299,-0.0492412
300,-0.0372187
301,-0.0243008
302,-0.0106156
303,0.00332538
304,0.016499
305,0.0295447
306,0.0427183
307,0.0558919
308,0.0670192
309,0.0787859
310,0.0946454
311,0.098994
312,0.103087
313,0.106412
314,0.108331
315,0.108075
316,0.106796
317,0.103598
318,0.0984824
319,0.0920874
320,0.083774
321,0.0736699
322,0.0625427
323,0.0498807
324,0.035556
325,0.0211034
326,0.00601126
327,-0.00972034
328,-0.0257077
329,-0.0413114
330,-0.062159
331,-0.0768674
332,-0.087483
333,-0.0974592
334,-0.107307
335,-0.115493
336,-0.122527
337,-0.127771
338,-0.130841
339,-0.131992
340,-0.130713
341,-0.12662
342,-0.12176
343,-0.11383
344,-0.104749
345,-0.0933664
346,-0.0801928
347,-0.0652286
348,-0.0496249
349,-0.0328701
350,-0.0153479
351,0.00217429
352,0.0202081
353,0.0386255
354,0.055764
355,0.0727746
356,0.0940059
357,0.107563
358,0.118179
359,0.127132
360,0.13455
361,0.140305
362,0.143503
363,0.144014
364,0.142863
365,0.13941
366,0.133143
367,0.124062
368,0.112935
369,0.0997614
370,0.083774
371,0.0670192
372,0.0489854
373,0.0294168
374,0.00920874
375,-0.0112551
376,-0.0319748
377,-0.0556361
378,-0.079937
379,-0.0965639
380,-0.112295
381,-0.127004
382,-0.140305
383,-0.151561
384,-0.161025
385,-0.168827
386,-0.172536
387,-0.174071
388,-0.172664
389,-0.16806
390,-0.161281
391,-0.151177
392,-0.138003
393,-0.122655
394,-0.105645
395,-0.0865877
396,-0.0656123
397,-0.0439973
398,-0.0204639
399,0.00268588
400,0.0262193
401,0.0487296
402,0.0706003
403,0.0993777
404,0.118307
405,0.134294
406,0.14913
407,0.16192
408,0.172664
409,0.180594
410,0.185837
411,0.187244
412,0.185837
413,0.181233
414,0.173815
415,0.162432
416,0.148491
417,0.131736
418,0.112423
419,0.0919595
420,0.0694492
421,0.04566
422,0.0204639
423,-0.00575546
424,-0.0318469
425,-0.0620311
426,-0.0892736
427,-0.110505
428,-0.130329
429,-0.150154
430,-0.167676
431,-0.182896
432,-0.19479
433,-0.203999
434,-0.210522
435,-0.212696
436,-0.211929
437,-0.207836
438,-0.20029
439,-0.189163
440,-0.17471
441,-0.156804
442,-0.135317
443,-0.112168
444,-0.087483
445,-0.0612637
446,-0.0328701
447,-0.00434857
448,0.0236613
449,0.0521829
450,0.0822392
451,0.113958
452,0.136213
453,0.15706
454,0.176117
455,0.19236
456,0.206429
457,0.217684
458,0.223951
459,0.226893
460,0.225998
461,0.220754
462,0.211801
463,0.199395
464,0.183152
465,0.163711
466,0.140945
467,0.116005
468,0.0886341
469,0.0592173
470,0.0292889
471,-0.00179059
472,-0.0337654
