Samples - Plot 0,Amplitude [V] - Plot 0
0,-0.00409277
1,-0.00396487
2,-0.00447647
3,-0.00434857
4,-0.00409277
5,-0.00434857
6,-0.00422067
7,-0.00319748
8,-0.00281378
9,-0.00243008
10,-0.00255798
11,-0.00230219
12,-0.00230219
13,-0.00204639
14,-0.00179059
15,-0.00127899
16,-0.000767395
17,-0.000639496
18,-0.000127899
19,0.000767395
20,0.00179059
21,0.00179059
22,0.00255798
23,0.00319748
24,0.00396487
25,0.00447647
26,0.00486017
27,0.00511597
28,0.00639496
29,0.00703445
30,0.00729025
31,0.00729025
32,0.00780185
33,0.00805765
34,0.00805765
35,0.00780185
36,0.00818555
37,0.00780185
38,0.00716235
39,0.00613916
40,0.00537177
41,0.00447647
42,0.00383697
43,0.00243008
44,0.000511597
45,-0.00115109
46,-0.00243008
47,-0.00383697
48,-0.00511597
49,-0.00601126
50,-0.00703445
51,-0.00780185
52,-0.00831345
53,-0.00946454
54,-0.010104
55,-0.0103598
56,-0.0106156
57,-0.0103598
58,-0.00920874
59,-0.00869714
60,-0.00818555
61,-0.00716235
62,-0.00575546
63,-0.00434857
64,-0.00281378
65,-0.000639496
66,0.00127899
67,0.00345328
68,0.00549966
69,0.00716235
70,0.00946454
71,0.0112551
72,0.0130457
73,0.0144526
74,0.0161153
75,0.0172664
76,0.0175222
77,0.0182896
78,0.0181617
79,0.017778
80,0.0170106
81,0.0168827
82,0.0157316
83,0.0135573
84,0.0124062
85,0.0107435
86,0.00831345
87,0.00562756
88,0.00319748
89,0.00127899
90,-0.00255798
91,-0.00549966
92,-0.00805765
93,-0.0104877
94,-0.0125341
95,-0.0138131
96,-0.0154758
97,-0.0162432
98,-0.0176501
99,-0.0188012
100,-0.0194407
101,-0.0191849
102,-0.0194407
103,-0.0185454
104,-0.0173943
105,-0.0161153
106,-0.0145805
107,-0.0122783
108,-0.00946454
109,-0.00703445
110,-0.00447647
111,-0.00140689
112,0.00191849
113,0.00447647
114,0.00729025
115,0.0102319
116,0.0125341
117,0.01522
118,0.0176501
119,0.0194407
120,0.020336
121,0.0217429
