Samples - Plot 0,Amplitude [V] - Plot 0
389,-0.29954
390,-0.299796
391,-0.29468
392,-0.28432
393,-0.269611
394,-0.249531
395,-0.224463
396,-0.194918
397,-0.16256
398,-0.126876
399,-0.0878667
400,-0.0471948
401,-0.00601126
402,0.0358118
403,0.0790417
404,0.126364
405,0.16256
406,0.197348
407,0.230218
408,0.259763
409,0.285087
410,0.305679
411,0.321794
412,0.33241
413,0.337654
414,0.336631
415,0.329596
416,0.317702
417,0.300051
418,0.277541
419,0.248892
420,0.215254
421,0.178164
422,0.138131
423,0.0954128
424,0.0510318
425,0.00511597
426,-0.0436136
427,-0.0946454
428,-0.135062
429,-0.175094
430,-0.213592
431,-0.249787
432,-0.282401
433,-0.309644
434,-0.331898
435,-0.347502
436,-0.357222
437,-0.361315
438,-0.359525
439,-0.350955
440,-0.336503
441,-0.315144
442,-0.288413
443,-0.257333
444,-0.220242
445,-0.178547
446,-0.134678
447,-0.0873551
448,-0.038114
449,0.0107435
450,0.0607521
451,0.116132
452,0.163711
453,0.20758
454,0.248252
455,0.285599
456,0.318597
457,0.345967
458,0.367582
459,0.384209
460,0.394313
461,0.39636
462,0.392267
463,0.38114
464,0.364001
465,0.34034
466,0.310923
467,0.274983
468,0.2338
469,0.188779
470,0.140561
471,0.0891457
472,0.0360676
473,-0.0175222
474,-0.0768674
475,-0.128411
476,-0.176757
477,-0.222928
478,-0.266798
479,-0.306446
480,-0.340595
481,-0.368861
482,-0.391371
483,-0.406464
484,-0.415289
485,-0.416184
486,-0.409405
487,-0.39636
488,-0.375256
489,-0.347758
490,-0.314248
491,-0.2746
492,-0.229707
493,-0.180338
494,-0.127899
495,-0.0734141
496,-0.0175222
497,0.0397766
498,0.100401
499,0.1577
500,0.207964
501,0.255926
502,0.299284
503,0.338421
504,0.37257
505,0.401475
506,0.423218
507,0.437031
508,0.443554
509,0.442787
510,0.433322
511,0.417335
512,0.393802
513,0.362466
514,0.32512
515,0.282401
516,0.234311
517,0.182384
518,0.126876
519,0.0688098
520,0.00920874
521,-0.0529503
522,-0.115365
523,-0.170106
524,-0.2228
525,-0.271914
526,-0.31719
527,-0.357094
528,-0.391499
529,-0.419381
530,-0.43831
531,-0.450972
532,-0.455321
533,-0.45174
534,-0.440741
535,-0.421172
536,-0.393162
537,-0.359397
538,-0.317446
539,-0.270763
540,-0.219731
541,-0.164606
542,-0.106412
543,-0.0454042
544,0.0162432
545,0.0790417
546,0.144782
547,0.200418
548,0.253624
549,0.30197
550,0.346479
551,0.385104
552,0.417463
553,0.444066
554,0.462355
555,0.472332
556,0.474378
557,0.467727
558,0.453147
559,0.430125
560,0.399813
561,0.363234
562,0.319236
563,0.269739
564,0.215638
565,0.156676
566,0.0961802
567,0.0344049
568,-0.0296726
569,-0.0997614
570,-0.158467
571,-0.215382
572,-0.268844
573,-0.318085
574,-0.361827
575,-0.400452
576,-0.431276
577,-0.454426
578,-0.470029
579,-0.476936
580,-0.474762
581,-0.465297
582,-0.448031
583,-0.421811
584,-0.387918
585,-0.347246
586,-0.300947
587,-0.249403
588,-0.19236
589,-0.132248
590,-0.0691935
591,-0.00549966
592,0.0593452
593,0.128794
594,0.189035
595,0.244415
596,0.296598
597,0.3452
598,0.387151
599,0.422963
600,0.451612
601,0.472204
602,0.484354
603,0.488703
604,0.484098
605,0.471436
606,0.449821
607,0.421556
608,0.38536
609,0.342514
610,0.293145
611,0.23866
612,0.180082
613,0.117923
614,0.0537177
615,-0.0109993
616,-0.0814718
617,-0.144398
618,-0.20336
619,-0.259252
620,-0.311051
621,-0.357862
622,-0.397255
623,-0.430764
624,-0.456984
625,-0.473994
626,-0.483075
627,-0.483587
628,-0.475529
629,-0.459286
630,-0.434346
631,-0.402371
632,-0.363106
633,-0.316934
634,-0.265647
635,-0.209243
636,-0.149258
637,-0.0872272
638,-0.022894
639,0.0423346
640,0.111272
641,0.174327
642,0.231625
643,0.284831
644,0.334201
645,0.378326
646,0.416184
647,0.446752
648,0.468623
649,0.483715
650,0.489726
651,0.486912
652,0.475657
653,0.455961
654,0.428334
655,0.39329
656,0.351083
657,0.302865
658,0.248764
659,0.190826
660,0.128922
661,0.0652286
662,0.000639496
663,-0.0676587
664,-0.131992
665,-0.190442
666,-0.246462
667,-0.298389
668,-0.345584
669,-0.387023
670,-0.421556
671,-0.448159
672,-0.467344
673,-0.478343
674,-0.480006
675,-0.473483
676,-0.457879
677,-0.43409
678,-0.403266
679,-0.36528
680,-0.320515
681,-0.269739
682,-0.214103
683,-0.154502
684,-0.0920874
685,-0.0285215
686,0.0350444
687,0.102831
688,0.166653
689,0.223056
690,0.277157
691,0.32691
692,0.37078
693,0.40787
694,0.438183
695,0.461204
696,0.476169
697,0.482691
698,0.480006
699,0.469006
700,0.449949
701,0.423602
702,0.389197
703,0.347758
704,0.300947
705,0.247869
706,0.190442
707,0.129562
708,0.0668913
709,0.00332538
710,-0.0652286
711,-0.130201
712,-0.188268
713,-0.244032
714,-0.296214
715,-0.343026
716,-0.383698
717,-0.416568
718,-0.441636
719,-0.460821
720,-0.470541
721,-0.472587
722,-0.465809
723,-0.450717
724,-0.427183
725,-0.39572
726,-0.357222
727,-0.313225
728,-0.262833
729,-0.20822
730,-0.149258
731,-0.086204
732,-0.0227661
733,0.0409277
734,0.108203
735,0.17049
736,0.226126
737,0.278564
738,0.32691
739,0.369884
740,0.406464
741,0.436008
742,0.457751
743,0.471564
744,0.477192
745,0.47425
746,0.461716
747,0.440996
748,0.413114
749,0.377942
750,0.336119
751,0.288541
752,0.229579
753,0.110889
754,0.00972034
755,-0.0665076
756,-0.120737
757,-0.161537
758,-0.207069
