Samples - Plot 0,Amplitude [V] - Plot 0
0,-0.00690656
1,-0.00652286
2,-0.00716235
3,-0.00729025
4,-0.00703445
5,-0.00703445
6,-0.00780185
7,-0.00792975
8,-0.00767395
9,-0.00703445
10,-0.00729025
11,-0.00677866
12,-0.00613916
13,-0.00549966
14,-0.00511597
15,-0.00434857
16,-0.00396487
17,-0.00345328
18,-0.00332538
19,-0.00306958
20,-0.00281378
21,-0.00281378
22,-0.00217429
23,-0.00115109
24,-0.000127899
25,0.000511597
26,0.000895294
27,0.00153479
28,0.00166269
29,0.00281378
30,0.00383697
31,0.00447647
32,0.00549966
33,0.00575546
34,0.00562756
35,0.00588336
36,0.00588336
37,0.00549966
38,0.00575546
39,0.00562756
40,0.00511597
41,0.00447647
42,0.00422067
43,0.00409277
44,0.00358118
45,0.00153479
46,-0.000255798
47,-0.00191849
48,-0.00306958
49,-0.00473227
50,-0.00588336
51,-0.00690656
52,-0.00818555
53,-0.00920874
54,-0.00984824
55,-0.011383
56,-0.0125341
57,-0.0129178
58,-0.0136852
59,-0.013941
60,-0.0141968
61,-0.0138131
62,-0.0134294
63,-0.0122783
64,-0.0107435
65,-0.00959244
66,-0.00741815
67,-0.00511597
68,-0.00294168
69,-0.00115109
70,0.00140689
71,0.00396487
72,0.00665076
73,0.00831345
74,0.00984824
75,0.0116388
76,0.013941
77,0.0156037
78,0.0167548
79,0.0179059
80,0.0189291
81,0.0186733
82,0.0180338
83,0.0171385
84,0.0167548
85,0.0153479
86,0.0130457
87,0.0111272
88,0.00831345
89,0.00562756
90,0.00319748
91,0.000255798
92,-0.00217429
93,-0.00498807
94,-0.00831345
95,-0.0117667
96,-0.0148363
97,-0.0175222
98,-0.0195686
99,-0.021615
100,-0.0232776
101,-0.0246845
102,-0.0249403
103,-0.0249403
104,-0.0244287
105,-0.0237892
106,-0.0231497
107,-0.0218708
108,-0.0204639
109,-0.017778
110,-0.0148363
111,-0.0120225
112,-0.00831345
113,-0.00460437
114,-0.000767395
115,0.00230219
116,0.00626706
117,0.00959244
118,0.0124062
119,0.0162432
120,0.0186733
121,0.0207197
122,0.0223824
123,0.0239171
124,0.0249403
125,0.0263472
126,0.0267309
127,0.0262193
128,0.0248124
129,0.0227661
130,0.0208476
131,0.0184175
132,0.0157316
133,0.0131736
134,0.00984824
135,0.00613916
136,0.00230219
137,-0.00166269
138,-0.00549966
139,-0.00869714
140,-0.0118946
141,-0.01522
142,-0.0184175
143,-0.021615
144,-0.0248124
145,-0.0269867
146,-0.0285215
147,-0.0303121
148,-0.0314632
