,0
0,0.007180979261187445
1,0.0035796346576065126
2,0.0027989397876545604
3,0.0031284596763462157
4,0.0025555938392849025
5,0.0053582440255928
6,0.0036565168338966512
7,0.00241479972345236
8,0.0014553546875176245
9,0.002692592031690641
10,0.0031318236717071688
11,0.0033045314218276573
12,0.0049858084178996545
13,0.008273823830982949
14,0.003905778077392597
15,0.003988826179032791
16,0.005443980816982645
17,0.006389053349184773
18,0.0029544273350478553
19,0.004153423478860111
20,0.0022667325003734623
21,0.0062489845265275455
22,0.007878104509784555
23,0.004971297456595619
24,0.002384760611676458
25,0.0026542793710397344
26,0.0018031309207129542
27,0.0022317842191276935
28,0.0020105857489991718
29,0.008524555776606818
30,0.008524555776606818
31,0.0018404235838530999
32,0.006418426351398821
33,0.006418426351398821
34,0.00521722920034768
35,0.0021808490687929825
36,0.008584139651735651
37,0.006295918597342661
38,0.002689716964058162
39,0.001739775987961297
